推广位ID,推广位名称,order_line_count,attributed_order_count,sku_count,item_quantity,attributed_payment_amount,zero_payment_line_count,active_days,invalid_order_count,non_invalid_order_count,mixed_status_order_count,classified_order_count,invalid_order_rate,zero_payment_line_rate,attributed_payment_amount_per_active_day,attributed_payment_amount_share,is_main_comparison_eligible,scale_threshold_amount,risk_threshold_rate,scale_risk_quadrant
18999847139275,CsleepI51,44,38,8,48,4406.78,3,13,5,33,0,38,0.13157894736842105,0.06818181818181818,338.9830769230769,0.0010820843838990346,True,19963.415,0.06860881643394985,low_scale_high_risk
19000067988947,VproI57,27,26,4,27,4372.31,1,5,1,25,0,26,0.038461538461538464,0.037037037037037035,874.4620000000001,0.0010736202788806314,False,,,
18999850589173,CsleepI60,38,32,10,47,4292.33,3,8,4,27,1,31,0.12903225806451613,0.07894736842105263,536.54125,0.001053981197958905,True,19963.415,0.06860881643394985,low_scale_high_risk
18999853639175,VesleepI2,32,31,6,33,4215.38,0,20,2,29,0,31,0.06451612903225806,0.0,210.769,0.0010350861332311377,True,19963.415,0.06860881643394985,low_scale_low_risk
18999738738940,TsleepI10,40,39,4,46,4206.96,0,12,5,34,0,39,0.1282051282051282,0.0,350.58,0.0010330186030815885,True,19963.415,0.06860881643394985,low_scale_high_risk
19000063739335,VproI15,26,22,8,27,4155.74,0,7,1,21,0,22,0.045454545454545456,0.0,593.6771428571428,0.0010204415372549965,False,,,
18999806489226,TsleepI24,32,29,5,35,3716.56,0,12,4,25,0,29,0.13793103448275862,0.0,309.7133333333333,0.0009126009326137896,False,,,
18999711189377,VsleepI22,40,40,2,42,3695.05,0,18,2,38,0,40,0.05,0.0,205.28055555555557,0.0009073191542863788,True,19963.415,0.06860881643394985,low_scale_low_risk
19000061789126,TproI515,20,20,3,20,3305.88,0,6,3,17,0,20,0.15,0.0,550.98,0.000811758500093978,False,,,
18999716489316,VsleepI2,24,24,3,24,3073.27,0,13,3,21,0,24,0.125,0.0,236.4053846153846,0.0007546411380884424,False,,,
19000066139312,VproI13,21,21,3,21,3019.12,0,12,1,20,0,21,0.047619047619047616,0.0,251.59333333333333,0.0007413446110577913,False,,,
18999873089206,TstressI9,29,25,8,29,2869.87,2,16,3,21,1,24,0.125,0.06896551724137931,179.366875,0.0007046962886325894,False,,,
